trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R1e_T04,07:53:00,07:58:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T04,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T04,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T04,08:05:00,08:05:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T05,07:51:00,07:51:00,195,1,Shopko,,,0
R1e_T05,,,404,2,Shopko,,,1.639
R1e_T05,,,193,3,Shopko,,,2.276
R1e_T05,,,1153,4,Shopko,,,2.417
R1e_T05,,,1154,5,Shopko,,,2.617
R1e_T05,,,1155,6,Shopko,,,2.897
R1e_T05,07:57:00,07:57:00,202,7,Shopko,,,3.217
R1e_T05,,,258,8,Shopko,,,3.77
R1e_T05,,,259,9,Shopko,,,3.978
R1e_T05,,,260,10,Shopko,,,4.491
R1e_T05,,,261,11,Shopko,,,5.207
R1e_T05,08:02:00,08:02:00,262,12,Shopko,,,5.459
R1e_T05,,,263,13,Transfer Center,,,5.784
R1e_T05,,,264,14,Transfer Center,,,6.231
R1e_T05,,,1173,15,Transfer Center,,,6.47
R1e_T05,,,1174,16,Transfer Center,,,6.741
R1e_T05,,,1167,17,Transfer Center,,,7.273
R1e_T05,,,1156,18,Transfer Center,,,7.369
R1e_T05,,,351,19,Transfer Center,,,7.819
R1e_T05,08:10:00,08:15:00,148,20,Transfer Center,,,8.19
R1e_T05,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T05,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T05,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T05,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T05,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T05,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T05,08:21:00,08:21:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T05,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T05,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T05,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T05,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T05,,,236,32,WWCC (Walla Walla Community College),,,11.389
R1e_T05,08:23:00,08:28:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T05,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T05,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T05,08:35:00,08:35:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T06,08:21:00,08:21:00,195,1,Shopko,,,0
R1e_T06,,,404,2,Shopko,,,1.639
R1e_T06,,,193,3,Shopko,,,2.276
R1e_T06,,,1153,4,Shopko,,,2.417
R1e_T06,,,1154,5,Shopko,,,2.617
R1e_T06,,,1155,6,Shopko,,,2.897
R1e_T06,08:27:00,08:27:00,202,7,Shopko,,,3.217
R1e_T06,,,258,8,Shopko,,,3.77
R1e_T06,,,259,9,Shopko,,,3.978
R1e_T06,,,260,10,Shopko,,,4.491
R1e_T06,,,261,11,Shopko,,,5.207
R1e_T06,08:32:00,08:32:00,262,12,Shopko,,,5.459
R1e_T06,,,263,13,Transfer Center,,,5.784
R1e_T06,,,264,14,Transfer Center,,,6.231
R1e_T06,,,1173,15,Transfer Center,,,6.47
R1e_T06,,,1174,16,Transfer Center,,,6.741
R1e_T06,,,1167,17,Transfer Center,,,7.273
R1e_T06,,,1156,18,Transfer Center,,,7.369
R1e_T06,,,351,19,Transfer Center,,,7.819
R1e_T06,08:40:00,08:45:00,148,20,Transfer Center,,,8.19
R1e_T06,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T06,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T06,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T06,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T06,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T06,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T06,08:51:00,08:51:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T06,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T06,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T06,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T06,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T06,,,236,32,WWCC (Walla Walla Community College),,,11.389
R1e_T06,08:53:00,08:58:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T06,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T06,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T06,09:05:00,09:05:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T07,08:51:00,08:51:00,195,1,Shopko,,,0
R1e_T07,,,404,2,Shopko,,,1.639
R1e_T07,,,193,3,Shopko,,,2.276
R1e_T07,,,1153,4,Shopko,,,2.417
R1e_T07,,,1154,5,Shopko,,,2.617
R1e_T07,,,1155,6,Shopko,,,2.897
R1e_T07,08:57:00,08:57:00,202,7,Shopko,,,3.217
R1e_T07,,,258,8,Shopko,,,3.77
R1e_T07,,,259,9,Shopko,,,3.978
R1e_T07,,,260,10,Shopko,,,4.491
R1e_T07,,,261,11,Shopko,,,5.207
R1e_T07,09:02:00,09:02:00,262,12,Shopko,,,5.459
R1e_T07,,,263,13,Transfer Center,,,5.784
R1e_T07,,,264,14,Transfer Center,,,6.231
R1e_T07,,,1173,15,Transfer Center,,,6.47
R1e_T07,,,1174,16,Transfer Center,,,6.741
R1e_T07,,,1167,17,Transfer Center,,,7.273
R1e_T07,,,1156,18,Transfer Center,,,7.369
R1e_T07,,,351,19,Transfer Center,,,7.819
R1e_T07,09:10:00,09:15:00,148,20,Transfer Center,,,8.19
