trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,7,amhm,06:47:00,06:47:00,,0,0,1,1,41350.03500610625,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,8,znz1,06:54:00,06:54:00,,0,0,1,1,41938.66298117783,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,9,9tx1,07:10:00,07:10:00,,0,0,1,1,50864.941053742055,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,10,1a7u,07:14:00,07:14:00,,0,0,1,1,52352.6997610561,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,11,mvl3,07:17:00,07:17:00,,0,0,1,1,53401.80818371163,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,12,utap,07:24:00,07:24:00,,0,0,1,1,60869.76188196348,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,13,0ebt,07:36:00,07:36:00,,0,0,1,1,66555.1758194629,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,14,f42j,07:41:00,07:41:00,,0,0,1,1,69391.63345559096,
bbdc06b3-3ebe-4cbd-ba27-5d7792b33050,15,fwsa,07:50:00,07:50:00,,0,0,1,1,72230.26288318346,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,0,fwsa,08:00:00,08:00:00,,0,0,1,1,0,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,1,rlp4,08:10:00,08:10:00,,0,0,1,1,7423.881086912782,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,2,qk1j,08:25:00,08:25:00,,0,0,1,1,25976.075285671028,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,3,8g7r,08:32:00,08:32:00,,0,0,1,1,31332.631485811537,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,4,f5x2,08:40:00,08:40:00,,0,0,1,1,35301.35757053946,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,5,a8y1,08:42:00,08:42:00,,3,3,1,1,36036.17499673298,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,6,houl,08:45:00,08:45:00,,0,0,1,1,38415.87852761173,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,7,amhm,08:47:00,08:47:00,,0,0,1,1,41350.03500610625,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,8,znz1,08:54:00,08:54:00,,0,0,1,1,41938.66298117783,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,9,9tx1,09:10:00,09:10:00,,0,0,1,1,50864.941053742055,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,10,1a7u,09:14:00,09:14:00,,0,0,1,1,52352.6997610561,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,11,mvl3,09:17:00,09:17:00,,0,0,1,1,53401.80818371163,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,12,utap,09:24:00,09:24:00,,0,0,1,1,60869.76188196348,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,13,0ebt,09:36:00,09:36:00,,0,0,1,1,66555.1758194629,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,14,f42j,09:41:00,09:41:00,,0,0,1,1,69391.63345559096,
3aae461f-b022-44ad-bbe3-5e5bb34c88a0,15,fwsa,09:50:00,09:50:00,,0,0,1,1,72230.26288318346,
183c503e-60c1-4db8-9db2-d95413545273,0,fwsa,12:00:00,12:00:00,,0,0,1,1,0,
183c503e-60c1-4db8-9db2-d95413545273,1,rlp4,12:10:00,12:10:00,,0,0,1,1,7423.881086912782,
183c503e-60c1-4db8-9db2-d95413545273,2,qk1j,12:25:00,12:25:00,,0,0,1,1,25976.075285671028,
183c503e-60c1-4db8-9db2-d95413545273,3,8g7r,12:32:00,12:32:00,,0,0,1,1,31332.631485811537,
183c503e-60c1-4db8-9db2-d95413545273,4,f5x2,12:40:00,12:40:00,,0,0,1,1,35301.35757053946,
183c503e-60c1-4db8-9db2-d95413545273,5,a8y1,12:42:00,12:42:00,,3,3,1,1,36036.17499673298,
183c503e-60c1-4db8-9db2-d95413545273,6,houl,12:45:00,12:45:00,,0,0,1,1,38415.87852761173,
183c503e-60c1-4db8-9db2-d95413545273,7,amhm,12:47:00,12:47:00,,0,0,1,1,41350.03500610625,
183c503e-60c1-4db8-9db2-d95413545273,8,znz1,12:54:00,12:54:00,,0,0,1,1,41938.66298117783,
183c503e-60c1-4db8-9db2-d95413545273,9,9tx1,13:10:00,13:10:00,,0,0,1,1,50864.941053742055,
183c503e-60c1-4db8-9db2-d95413545273,10,1a7u,13:14:00,13:14:00,,0,0,1,1,52352.6997610561,
183c503e-60c1-4db8-9db2-d95413545273,11,mvl3,13:17:00,13:17:00,,0,0,1,1,53401.80818371163,
183c503e-60c1-4db8-9db2-d95413545273,12,utap,13:24:00,13:24:00,,0,0,1,1,60869.76188196348,
183c503e-60c1-4db8-9db2-d95413545273,13,0ebt,13:36:00,13:36:00,,0,0,1,1,66555.1758194629,
183c503e-60c1-4db8-9db2-d95413545273,14,f42j,13:41:00,13:41:00,,0,0,1,1,69391.63345559096,
183c503e-60c1-4db8-9db2-d95413545273,15,fwsa,13:50:00,13:50:00,,0,0,1,1,72230.26288318346,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,0,fwsa,10:00:00,10:00:00,,0,0,1,1,0,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,1,rlp4,10:10:00,10:10:00,,0,0,1,1,7423.881086912782,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,2,qk1j,10:25:00,10:25:00,,0,0,1,1,25976.075285671028,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,3,8g7r,10:32:00,10:32:00,,0,0,1,1,31332.631485811537,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,4,f5x2,10:40:00,10:40:00,,0,0,1,1,35301.35757053946,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,5,a8y1,10:42:00,10:42:00,,3,3,1,1,36036.17499673298,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,6,houl,10:45:00,10:45:00,,0,0,1,1,38415.87852761173,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,7,amhm,10:47:00,10:47:00,,0,0,1,1,41350.03500610625,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,8,znz1,10:54:00,10:54:00,,0,0,1,1,41938.66298117783,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,9,9tx1,11:10:00,11:10:00,,0,0,1,1,50864.941053742055,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,10,1a7u,11:14:00,11:14:00,,0,0,1,1,52352.6997610561,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,11,mvl3,11:17:00,11:17:00,,0,0,1,1,53401.80818371163,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,12,utap,11:24:00,11:24:00,,0,0,1,1,60869.76188196348,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,13,0ebt,11:36:00,11:36:00,,0,0,1,1,66555.1758194629,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,14,f42j,11:41:00,11:41:00,,0,0,1,1,69391.63345559096,
aaeb7840-767d-43bc-9b97-d5fa3d06c6c7,15,fwsa,11:50:00,11:50:00,,0,0,1,1,72230.26288318346,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,0,fwsa,14:00:00,14:00:00,,0,0,1,1,0,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,1,rlp4,14:10:00,14:10:00,,0,0,1,1,7423.881086912782,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,2,qk1j,14:25:00,14:25:00,,0,0,1,1,25976.075285671028,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,3,8g7r,14:32:00,14:32:00,,0,0,1,1,31332.631485811537,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,4,f5x2,14:40:00,14:40:00,,0,0,1,1,35301.35757053946,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,5,a8y1,14:42:00,14:42:00,,3,3,1,1,36036.17499673298,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,6,houl,14:45:00,14:45:00,,0,0,1,1,38415.87852761173,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,7,amhm,14:47:00,14:47:00,,0,0,1,1,41350.03500610625,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,8,znz1,14:54:00,14:54:00,,0,0,1,1,41938.66298117783,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,9,9tx1,15:10:00,15:10:00,,0,0,1,1,50864.941053742055,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,10,1a7u,15:14:00,15:14:00,,0,0,1,1,52352.6997610561,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,11,mvl3,15:17:00,15:17:00,,0,0,1,1,53401.80818371163,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,12,utap,15:24:00,15:24:00,,0,0,1,1,60869.76188196348,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,13,0ebt,15:36:00,15:36:00,,0,0,1,1,66555.1758194629,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,14,f42j,15:41:00,15:41:00,,0,0,1,1,69391.63345559096,
0c23b1a2-5072-4e94-a796-6612d59fb2b4,15,fwsa,15:50:00,15:50:00,,0,0,1,1,72230.26288318346,
77b2473d-24c1-463d-aadb-741831f207d6,0,fwsa,16:00:00,16:00:00,,0,0,1,1,0,
77b2473d-24c1-463d-aadb-741831f207d6,1,rlp4,16:10:00,16:10:00,,0,0,1,1,7423.881086912782,
77b2473d-24c1-463d-aadb-741831f207d6,2,qk1j,16:25:00,16:25:00,,0,0,1,1,25976.075285671028,
77b2473d-24c1-463d-aadb-741831f207d6,3,8g7r,16:32:00,16:32:00,,0,0,1,1,31332.631485811537,
77b2473d-24c1-463d-aadb-741831f207d6,4,f5x2,16:40:00,16:40:00,,0,0,1,1,35301.35757053946,
77b2473d-24c1-463d-aadb-741831f207d6,5,a8y1,16:42:00,16:42:00,,3,3,1,1,36036.17499673298,
77b2473d-24c1-463d-aadb-741831f207d6,6,houl,16:45:00,16:45:00,,0,0,1,1,38415.87852761173,
77b2473d-24c1-463d-aadb-741831f207d6,7,amhm,16:47:00,16:47:00,,0,0,1,1,41350.03500610625,
77b2473d-24c1-463d-aadb-741831f207d6,8,znz1,16:54:00,16:54:00,,0,0,1,1,41938.66298117783,
77b2473d-24c1-463d-aadb-741831f207d6,9,9tx1,17:10:00,17:10:00,,0,0,1,1,50864.941053742055,
77b2473d-24c1-463d-aadb-741831f207d6,10,1a7u,17:14:00,17:14:00,,0,0,1,1,52352.6997610561,
77b2473d-24c1-463d-aadb-741831f207d6,11,mvl3,17:17:00,17:17:00,,0,0,1,1,53401.80818371163,
77b2473d-24c1-463d-aadb-741831f207d6,12,utap,17:24:00,17:24:00,,0,0,1,1,60869.76188196348,
77b2473d-24c1-463d-aadb-741831f207d6,13,0ebt,17:36:00,17:36:00,,0,0,1,1,66555.1758194629,
77b2473d-24c1-463d-aadb-741831f207d6,14,f42j,17:41:00,17:41:00,,0,0,1,1,69391.63345559096,
77b2473d-24c1-463d-aadb-741831f207d6,15,fwsa,17:50:00,17:50:00,,0,0,1,1,72230.26288318346,
A1,0,8g7r,05:25:00,05:25:00,,0,0,,,0,
A1,1,xe87,05:36:00,05:36:00,,0,0,,,2800.1599986012957,
A1,2,z32m,05:45:00,05:45:00,,0,0,,,12123.63133432831,
A1,3,fwsa,05:53:00,05:53:00,,0,0,,,23944.798034231047,
A1,4,f42j,05:59:00,05:59:00,,0,0,,,26416.216439382646,
A1,5,0ebt,06:04:00,06:04:00,,0,0,,,29252.6740755107,
A1,6,3ahw,06:09:00,06:09:00,,0,0,,,31522.048029407888,
A1,7,grhv,06:15:00,06:15:00,,0,0,1,1,32753.246532050445,
A1,8,4xc1,06:35:00,06:35:00,,0,0,,,42089.07320392839,
A1,9,ospq,06:48:00,06:48:00,,0,0,,,53715.205386531445,
A1,10,ej0z,06:53:00,06:53:00,,0,0,,,58098.6198037648,
A1,11,u9g0,06:57:00,06:57:00,,0,0,,,61273.68092338422,
A1,12,rvmu,06:59:00,06:59:00,,0,0,1,1,64431.26902947923,
A1,13,yn9h,07:02:00,07:02:00,,0,0,,,66392.51659182744,
A1,14,a1vl,07:05:00,07:05:00,,0,0,1,1,67918.24117715143,
A1,15,qk1j,07:10:00,07:10:00,,0,0,,,75624.25541322352,
A1,16,97t9,07:18:00,07:18:00,,0,0,,,78197.23181055477,
A1,17,8g7r,07:25:00,07:25:00,,0,0,,,80980.82295606672,
A2,0,8g7r,07:25:00,07:25:00,,0,0,,,0,
A2,1,xe87,07:36:00,07:36:00,,0,0,,,2800.1599986012957,
A2,2,z32m,07:45:00,07:45:00,,0,0,,,12123.63133432831,
A2,3,fwsa,07:53:00,07:53:00,,0,0,,,23944.798034231047,
A2,4,f42j,07:59:00,07:59:00,,0,0,,,26416.216439382646,
A2,5,0ebt,08:04:00,08:04:00,,0,0,,,29252.6740755107,
A2,6,3ahw,08:09:00,08:09:00,,0,0,,,31522.048029407888,
A2,7,grhv,08:15:00,08:15:00,,0,0,1,1,32753.246532050445,
A2,8,4xc1,08:35:00,08:35:00,,0,0,,,42089.07320392839,
A2,9,ospq,08:48:00,08:48:00,,0,0,,,53715.205386531445,
A2,10,ej0z,08:53:00,08:53:00,,0,0,,,58098.6198037648,
A2,11,u9g0,08:57:00,08:57:00,,0,0,,,61273.68092338422,
A2,12,rvmu,08:59:00,08:59:00,,0,0,1,1,64431.26902947923,
A2,13,yn9h,09:02:00,09:02:00,,0,0,,,66392.51659182744,
A2,14,a1vl,09:05:00,09:05:00,,0,0,1,1,67918.24117715143,
A2,15,qk1j,09:10:00,09:10:00,,0,0,,,75624.25541322352,
A2,16,97t9,09:18:00,09:18:00,,0,0,,,78197.23181055477,
A2,17,8g7r,09:25:00,09:25:00,,0,0,,,80980.82295606672,
A3,0,8g7r,09:25:00,09:25:00,,0,0,,,0,
A3,1,xe87,09:36:00,09:36:00,,0,0,,,2800.1599986012957,
A3,2,z32m,09:45:00,09:45:00,,0,0,,,12123.63133432831,
A3,3,fwsa,09:53:00,09:53:00,,0,0,,,23944.798034231047,
A3,4,f42j,09:59:00,09:59:00,,0,0,,,26416.216439382646,
A3,5,0ebt,10:04:00,10:04:00,,0,0,,,29252.6740755107,
A3,6,3ahw,10:09:00,10:09:00,,0,0,,,31522.048029407888,
A3,7,grhv,10:15:00,10:15:00,,0,0,1,1,32753.246532050445,
A3,8,4xc1,10:35:00,10:35:00,,0,0,,,42089.07320392839,
A3,9,ospq,10:48:00,10:48:00,,0,0,,,53715.205386531445,
A3,10,ej0z,10:53:00,10:53:00,,0,0,,,58098.6198037648,
A3,11,u9g0,10:57:00,10:57:00,,0,0,,,61273.68092338422,
A3,12,rvmu,10:59:00,10:59:00,,0,0,1,1,64431.26902947923,
A3,13,yn9h,11:02:00,11:02:00,,0,0,,,66392.51659182744,
A3,14,a1vl,11:05:00,11:05:00,,0,0,1,1,67918.24117715143,
