stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
258,258,"Orangeburg Ave & McHenry Ave",,37.66359,-120.9933,,,0,,0
259,259,"Orangeburg Ave & Nelson Ave",,37.663569,-120.988799,,,0,,0
26,26,"Modesto HS -G St & 2nd St",,37.6317,-121.00463,,,0,,0
264,264,"H St & 17th St",,37.643919,-120.9911,,,0,,0
265,265,"H St & 15th St",,37.64237,-120.993,,,0,,0
266,266,"H St & 13th St",,37.640889,-120.994944,,,0,,0
267,267,"H St & 11th St",,37.639429,-120.996899,,,0,,0
268,268,"D St & Yosemite Blvd",,37.637069,-120.9902,,,0,,0
269,269,"Yosemite Blvd & Morton Blvd",,37.637421,-120.984794,,,0,,0
27,27,"G St & 4th St",,37.633109,-121.0026,,,0,,0
270,270,"Yosemite Blvd & Santa Rosa Ave",,37.638179,-120.9802,,,0,,0
271,271,"Yosemite Blvd & Santa Rita Ave",,37.63816,-120.9775,,,0,,0
272,272,"Yosemite Blvd & Santa Cruz Ave",,37.638139,-120.9739,,,0,,0
273,273,"Yosemite Blvd & Kerr Ave",,37.638151,-120.970964,,,0,,0
274,274,"Yosemite Blvd & Empire Ave",,37.638151,-120.968683,,,0,,0
275,275,"Empire Ave & Yosemite Blvd",,37.637905,-120.96796,,,0,,0
276,276,"Empire Ave & Mono Dr",,37.635589,-120.967999,,,0,,0
277,277,"Empire Ave & Tenaya Dr",,37.633799,-120.9686,,,0,,0
278,278,"Empire Ave & Oregon Dr",,37.63116,-120.968699,,,0,,0
279,279,"Empire Ave & Monterey Ave",,37.62745,-120.9687,,,0,,0
28,28,"7th St & H St",,37.636579,-121.001,,,0,,0
280,280,"Monterey Ave & Kerr Ave",,37.627329,-120.9719,,,0,,0
281,281,"Monterey Ave & Santa Cruz Ave",,37.62734,-120.974599,,,0,,0
282,282,"Santa Cruz Ave & Larkin Ave",,37.62907,-120.974699,,,0,,0
285,285,"Santa Cruz Ave & Oregon Dr",,37.631629,-120.974699,,,0,,0
286,286,"Santa Cruz Ave & Tenaya Dr",,37.633919,-120.974699,,,0,,0
287,287,"Santa Cruz Ave & Yosemite Blvd",,37.63722,-120.974669,,,0,,0
288,288,"Yosemite Blvd & Santa Ana Ave",,37.638329,-120.9761,,,0,,0
289,289,"Yosemite Blvd & Las Flores Ave",,37.638339,-120.9813,,,0,,0
29,29,"7th St & K St",,37.639179,-121.0041,,,0,,0
290,290,"Yosemite Blvd & Groveland St",,37.637419,-120.986899,,,0,,0
291,291,"D St & 13th St",,37.637169,-120.9904,,,0,,0
292,292,"10th St & F St",,37.63657,-120.9955,,,0,,0
293,293,"Vintage Fair Mall - Food Court Entrance",,37.68944,-121.0538,,,0,,0
294,294,"Roselawn Ave & Center St",,37.629531,-121.005006,,,0,,0
295,295,"Roselawn Ave & Tuolumne Blvd",,37.62764,-121.005,,,0,,0
296,296,"Roselawn Ave & South Ave",,37.624489,-121.005,,,0,,0
297,297,"Roselawn Ave & Rouse Ave",,37.620989,-121.005,,,0,,0
298,298,"Rouse Ave & Leon Ave",,37.620612,-121.009354,,,0,,0
299,299,"Rouse Ave & Sutter Ave",,37.620599,-121.0122,,,0,,0
3,3,"H St & 4th St",,37.63403,-121.0041,,,0,,0
300,300,"Rouse Ave & Josilane",,37.620559,-121.016299,,,0,,0
301,301,"Beverly Dr & Paradise Rd",,37.6217,-121.021299,,,0,,0
302,302,"Beverly Dr & Vernon Ave",,37.62166,-121.0279,,,0,,0
303,303,"Carpenter Rd & Beverly Dr",,37.621648,-121.03034,,,0,,0
304,304,"Carpenter Rd & Chicago Ave",,37.62535,-121.0304,,,0,,0
305,305,"Carpenter Rd & Torrid Ave",,37.649256,-121.030852,,,0,,0
306,306,"Carpenter Rd & Woodland Ave",,37.65354,-121.031,,,0,,0
307,307,"Carpenter Rd between Granite & Blue Gum",,37.65754,-121.031,,,0,,0
308,308,"Carpenter Rd & Blue Gum Ave",,37.66013,-121.031,,,0,,0
309,309,"Sisk Rd & Briggsmore Ave",,37.668848,-121.035394,,,0,,0
310,310,"Sisk Rd & Plaza Pkw",,37.66994,-121.0368,,,0,,0
311,311,"Sisk Rd & Plaza Pkw",,37.672082,-121.03926,,,0,,0
312,312,"Sisk Rd & Earl St",,37.676709,-121.0449,,,0,,0
313,313,"Sisk Rd & Brenner Way",,37.679229,-121.048,,,0,,0
314,314,"Sisk Rd & Rumble Rd",,37.68329,-121.049753,,,0,,0
316,316,"Dale Rd & Veneman Ave",,37.68859,-121.05,,,0,,0
317,317,"Sisk Rd & Rumble Rd",,37.6817,-121.049799,,,0,,0
318,318,"Sisk Rd & Brenner Way",,37.6785,-121.047299,,,0,,0
319,319,"Sisk Rd & Plaza Pkw",,37.670729,-121.038,,,0,,0
321,321,"Carpenter Rd & Blue Gum Ave",,37.660129,-121.0313,,,0,,0
322,322,"Carpenter Rd & Cummins Dr",,37.65715,-121.031299,,,0,,0
323,323,"Carpenter Rd & Woodland Ave",,37.65263,-121.031199,,,0,,0
324,324,"Carpenter Rd & Torrid Ave",,37.64929,-121.031099,,,0,,0
325,325,"Carpenter Rd & Kansas Ave",,37.647322,-121.030543,,,0,,0
326,326,"Central Catholic HS - Carpenter & Maze",,37.64079,-121.030599,,,0,,0
328,328,"Carpenter Rd & California Ave",,37.631049,-121.030699,,,0,,0
329,329,"Carpenter Rd & Chicago Ave",,37.62411,-121.0305,,,0,,0
330,330,"Carpenter Rd & Houser Ln",,37.627359,-121.0306,,,0,,0
331,331,"Beverly Dr & Vernon Ave",,37.621579,-121.0283,,,0,,0
332,332,"Beverly Dr & Paradise Rd",,37.6216,-121.022,,,0,,0
333,333,"Rouse Ave & Hammond St",,37.620426,-121.018335,,,0,,0
334,334,"Rouse Ave & Mamilane",,37.620385,-121.017581,,,0,,0
335,335,"Rouse Ave & Sutter Ave",,37.62051,-121.011919,,,0,,0
336,336,"Rouse Ave & Colorado Ave",,37.620539,-121.0074,,,0,,0
337,337,"Roselawn Ave & Rouse Ave",,37.621209,-121.004899,,,0,,0
338,338,"Roselawn Ave & South Ave",,37.624409,-121.004899,,,0,,0
339,339,"Roselawn Ave & Tuolumne Blvd",,37.627454,-121.004867,,,0,,0
348,348,"Yosemite Blvd & Beard Ave",,37.638181,-120.943499,,,0,,0
350,350,"Yosemite Blvd & McClure Rd",,37.63812,-120.9303,,,0,,0
361,361,"Yosemite Blvd & Lincoln Ave",,37.63826,-120.9417,,,0,,0
368,368,"Yosemite Blvd & Rosina Ave",,37.638289,-120.968999,,,0,,0
369,369,"El Vista Ave & Miller Ave",,37.640289,-120.9571,,,0,,0
370,370,"El Vista Ave & Roble Ave",,37.64347,-120.957199,,,0,,0
371,371,"El Vista Ave & Ada St",,37.646999,-120.957199,,,0,,0
372,372,"El Vista Ave & Edgebrook Dr",,37.650189,-120.957199,,,0,,0
373,373,"Oakdale Rd & Scenic Dr",,37.654509,-120.957299,,,0,,0
374,374,"Oakdale Rd & Wylie Dr",,37.65833,-120.957299,,,0,,0
375,375,"Oakdale Rd & Morningside Dr",,37.6606,-120.9574,,,0,,0
376,376,"Oakdale Rd & Orangeburg Ave",,37.663249,-120.957399,,,0,,0
377,377,"Oakdale Rd & Merle Ave",,37.669989,-120.957499,,,0,,0
378,378,"Oakdale Rd & Floyd Ave",,37.678909,-120.957599,,,0,,0
379,379,"Oakdale Rd between Floyd & Sylvan",,37.684089,-120.9577,,,0,,0
380,380,"Sylvan Ave & Coffee Rd",,37.68904,-120.977661,,,0,,0
381,381,"Sylvan Ave & Dragoo Park Dr",,37.6891,-120.9852,,,0,,0
382,382,"Sylvan Ave & Bridgeford Ln",,37.689189,-120.991799,,,0,,0
383,383,"Rumble Rd & McHenry Ave",,37.681848,-120.995099,,,0,,0
384,384,"Rumble Rd & Sherwood Ave",,37.68205,-120.998397,,,0,,0
385,385,"Rumble Rd & Stafford Way",,37.682051,-121.002174,,,0,,0
386,386,"Rumble Rd & Napier Dr",,37.682009,-121.005699,,,0,,0
387,387,"Rumble Rd & Tully Rd",,37.682169,-121.012126,,,0,,0
388,388,"Rumble Rd & Secrest Way",,37.682227,-121.016694,,,0,,0
389,389,"Rumble Rd & Radner Way",,37.68186,-121.0235,,,0,,0
390,390,"Rumble Rd & Pembroke Dr",,37.68184,-121.0255,,,0,,0
391,391,"Rumble Rd & Holiday Ln",,37.68222,-121.033,,,0,,0
392,392,"Rumble Rd & Ashland Way",,37.682329,-121.0379,,,0,,0
393,393,"Rumble Rd & Conant Ave",,37.682299,-121.0404,,,0,,0
394,394,"Rumble Rd & Hahn Dr",,37.68226,-121.045,,,0,,0
395,395,"Rumble Rd & Sisk Rd",,37.682199,-121.048399,,,0,,0
396,396,"Standiford Ave & Dale Rd",,37.685259,-121.0482,,,0,,0
397,397,"Standiford Ave & Hahn Dr",,37.685449,-121.0443,,,0,,0
398,398,"Conant Ave & Standiford Ave",,37.684442,-121.040647,,,0,,0
399,399,"Rumble Rd & Conant Ave",,37.682239,-121.040199,,,0,,0
4,4,"H St & 2nd St",,37.63269,-121.0059,,,0,,0
40,40,"Carpenter Rd & Houser Ln",,37.627999,-121.030399,,,0,,0
400,400,"Rumble Rd & Prescott Rd",,37.682317,-121.034394,,,0,,0
401,401,"Rumble Rd & Prescott Rd",,37.681833,-121.030599,,,0,,0
402,402,"Rumble Rd & Hunt Ave",,37.68175,-121.0239,,,0,,0
403,403,"Rumble Rd between Campbell & Thornton",,37.681529,-121.019899,,,0,,0
404,404,"Rumble Rd & Tully Rd",,37.681991,-121.011986,,,0,,0
405,405,"Rumble Rd & College Ave",,37.68191,-121.004499,,,0,,0
406,406,"Rumble Rd & Sherwood Ave",,37.681821,-120.99806,,,0,,0
407,407,"Sylvan Ave & McHenry Ave",,37.689,-120.99373,,,0,,0
408,408,"Sylvan Ave & Dragoo Park Dr",,37.688839,-120.984199,,,0,,0
409,409,"Oakdale Rd & Sylvan Ave",,37.688259,-120.958099,,,0,,0
411,411,"Oakdale Rd & Celeste Dr",,37.67207,-120.957799,,,0,,0
412,412,"Oakdale Rd & Lancey Dr",,37.669149,-120.957699,,,0,,0
413,413,"Oakdale Rd & Orangeburg Ave",,37.663019,-120.9576,,,0,,0
414,414,"Oakdale Rd & Wylie Dr",,37.657839,-120.9576,,,0,,0
415,415,"Oakdale Rd & Scenic Dr",,37.65524,-120.9576,,,0,,0
416,416,"El Vista Ave & Edgebrook Dr",,37.649986,-120.957378,,,0,,0
417,417,"El Vista Ave & Moran Ave",,37.64696,-120.9574,,,0,,0
418,418,"El Vista Ave & Roble Ave",,37.64336,-120.957399,,,0,,0
419,419,"El Vista Ave & Miller Ave",,37.63985,-120.9573,,,0,,0
42,42,"Central Catholic HS - Carpenter & Maze",,37.63701,-121.030399,,,0,,0
420,420,"Crows Landing Rd & School Ave",,37.61155,-120.993799,,,0,,0
421,421,"Crows Landing Rd & Hatch Rd",,37.609019,-120.9937,,,0,,0
422,422,"Crows Landing Rd & Amador Ave",,37.60737,-120.993764,,,0,,0
423,423,"Crows Landing Rd between Butte & Colusa",,37.604539,-120.993699,,,0,,0
424,424,"Crows Landing Rd & Glenn Ave",,37.6013,-120.993699,,,0,,0
425,425,"Crows Landing Rd & Algen Ave",,37.598499,-120.993699,,,0,,0
426,426,"Crows Landing Rd & Whitmore Ave",,37.595209,-120.993699,,,0,,0
427,427,"Crows Landing Rd & Hackett Rd",,37.5889,-120.993737,,,0,,0
428,428,"CSA Public Safety Center",,37.58695,-120.990799,,,0,,0
429,429,"Community Services Agency",,37.587688,-120.991836,,,0,,0
43,43,"Carpenter Rd & Hillview Dr",,37.64031,-121.030299,,,0,,0
430,430,"Whitmore Ave & Crows Landing Rd",,37.59499,-120.993999,,,0,,0
431,431,"Whitmore Ave & Trevose Dr",,37.595,-120.9986,,,0,,0
432,432,"Whitmore Ave & Dallas St",,37.59493,-121.00181,,,0,,0
434,434,"Whitmore Ave & Ustick Rd",,37.595149,-121.0097,,,0,,0
435,435,"Tucson Ave & Whitmore Ave",,37.595399,-121.0143,,,0,,0
436,436,"Tucson Ave & Placer Ave",,37.596909,-121.014299,,,0,,0
