route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
35,UM2223-UMTS-Weekday-63-1110000,3864952-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864953-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864954-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864955-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864956-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864957-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864958-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864959-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864960-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864961-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864962-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864963-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351103,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864964-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864965-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864966-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",1,409747,351096,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864967-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864968-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864969-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864970-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864971-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864972-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864973-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864974-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864975-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864976-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351110,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864977-UM2223-UMTS-Weekday-63-1110000,"Orchard Hill via Butterfield",0,409747,351093,1,1
35,UM2223-UMTS-Weekday-63-1110000,3864978-UM2223-UMTS-Weekday-63-1110000,"Mullins Center via Southwest",1,409747,351111,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864979-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864980-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864981-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864982-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864983-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864984-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864985-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864986-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864987-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864988-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864989-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864990-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864991-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864992-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864993-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864994-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864995-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864996-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864997-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864998-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
38,UM2223-UMTS-Weekday-63-1110000,3864999-UM2223-UMTS-Weekday-63-1110000,"UMass / Haigis Mall",0,409733,380349,1,1
38,UM2223-UMTS-Weekday-63-1110000,3865000-UM2223-UMTS-Weekday-63-1110000,"Mt Holyoke College via Hampshire College",1,409733,380350,1,1
B79,UM2223-UMTS-Weekday-63-1001100,3865031-UM2223-UMTS-Weekday-63-1001100,"Worcester",0,409719,B790001,1,1
B79,UM2223-UMTS-Weekday-63-1001100,3865032-UM2223-UMTS-Weekday-63-1001100,"Amherst",1,409719,B790002,1,1
B79,UM2223-UMTS-Weekday-63-1001100,3865033-UM2223-UMTS-Weekday-63-1001100,"Worcester",0,409720,B790001,1,1
B79,UM2223-UMTS-Weekday-63-1001100,3865034-UM2223-UMTS-Weekday-63-1001100,"Amherst",1,409720,B790002,1,1
B79,UM2223-UMTS-Weekday-63-1001100,3865035-UM2223-UMTS-Weekday-63-1001100,"Worcester",0,409721,B790001,1,1
B79,UM2223-UMTS-Weekday-63-1001100,3865036-UM2223-UMTS-Weekday-63-1001100,"Amherst",1,409721,B790002,1,1
30,UM2223-UMTS-Weekday-63,3865043-UM2223-UMTS-Weekday-63,"UMass",1,409724,300776,1,1
30,UM2223-UMTS-Weekday-63,3865045-UM2223-UMTS-Weekday-63,"Bus Garage via Mass Ave",1,409722,300777,1,1
30,UM2223-UMTS-Weekday-63,3865046-UM2223-UMTS-Weekday-63,"UMass",1,409722,300776,1,1
30,UM2223-UMTS-Weekday-63,3865047-UM2223-UMTS-Weekday-63,"Bus Garage via Mass Ave",1,409724,300777,1,1
