stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
40.921046,0,2318,-73.842296,,,,,LOCUST ST @ BERG ST,0,2318,
40.919372,0,2319,-73.843279,,,,,LOCUST ST @ PUTNAM ST,0,2319,
40.925744,0,2316,-73.83954,,,,LOCUST ST & BROAD ST,LOCUST ST @ W GRAND ST,0,2316,
40.923062,0,2317,-73.841123,,,,S LOCUST ST & WILLIAM ST,LOCUST ST @ WILLIAM ST,0,2317,
40.91204,0,2314,-73.838489,,,,,STEVENS AVE @ N 5TH AVE,0,2314,
40.912399,0,2315,-73.838419,,,,,E ROOSEVELT SQ @ STEVENS AVE,0,2315,
40.909896,0,2312,-73.843482,,,,,S 11TH AVE @ W 1ST ST,0,2312,
40.910861,0,2313,-73.841897,,,,,STEVENS AVE @ N 10TH AVE,0,2313,
40.905288,0,2310,-73.841699,,,,,S 11TH AVE @ W 3RD ST,0,2310,
40.907564,0,2311,-73.842592,,,,,S 11TH AVE @ W 2ND ST,0,2311,
41.000808,0,298,-73.664821,,,,,WESTCHESTER AVE @ E BROADWAY,0,298,
41.000782,0,296,-73.664993,,,,WESTCHESTER AVE & BROAD ST,WESTCHESTER AVE @ E BROADWAY,0,296,
41.000535,0,297,-73.663419,,,,,MAIN ST @ WESTCHESTER AVE,0,297,
41.004725,0,294,-73.672695,,,,WESTCHESTER AVE & HASECO AVE,WESTCHESTER AV @ PORT CHESTER YMCA,0,294,
41.003194,0,295,-73.668916,,,,,WESTCHESTER AVE @ WASHINGTON ST,0,295,
41.004711,0,292,-73.677464,,,,,WESTCHESTER AVE @ MERRITT ST,0,292,
41.005145,0,293,-73.674531,,,,,WESTCHESTER AVE @ S REGENT ST,0,293,
41.007712,0,290,-73.688604,,,,,WESTCHESTER AVE @ LINCOLN AVE,0,290,
41.006063,0,291,-73.682582,,,,,WESTCHESTER AVE @ S RIDGE ST,0,291,
41.012378,0,270,-73.847741,,,,SAW MILL RIVER RD & LINCOLN AVE,SAW MILL RIVER RD @ ASHFORD AVE,0,270,
41.014246,0,271,-73.852397,,,,,ASHFORD AVE @ KING ST,0,271,
41.01424,0,272,-73.854688,,,,,ASHFORD AVE @ BRIARY RD,0,272,
41.014119,0,273,-73.859433,,,,ASHFORD AVE & OGDEN PL,ASHFORD AVE @ LEFURGY AVE,0,273,
41.014908,0,274,-73.862615,,,,135 ASHFORD AVE & WASHINGTON AVE,ASHFORD AVE @ WASHINGTON AVE,0,274,
41.015228,0,275,-73.864267,,,,,ASHFORD AVE @ BEACON HILL RD,0,275,
41.015917,0,276,-73.866981,,,,,ASHFORD AVE @ STORM ST,0,276,
41.015687,0,277,-73.86845,,,,,ASHFORD AVE @ BELLEWOOD AVE,0,277,
41.032319,0,278,-73.760267,,,,,WESTCHESTER AVE @ PAULDING ST,0,278,
41.032762,0,279,-73.755657,,,,,WESTCHESTER AVE @ S KENSICO AVE,0,279,
40.94295,0,738,-73.88393,,,,,NEPPERHAN AVE @ AXMINSTER ST,0,738,
40.909961,0,2268,-73.821722,,,,,E 3RD ST @ S COLUMBUS AVE,0,2268,
40.909434,0,2269,-73.819308,,,,,E 3RD ST @ GRANDVIEW AVE,0,2269,
