shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
433abc51-ab76-48a7-9202-a960bc37a2d7,42.3468726782127,-71.5458376136921,31,13223.63
fe5030ac-9111-435a-8667-e4e43ff86383,42.2761012480319,-71.4167965302942,73,17297.11
745a8001-29b1-41e0-bddb-7ad5c04392f2,42.2628162659893,-71.4209485900968,37,19586.92
d6f790bc-3e94-49be-a988-a597ddef9cf0,42.2782014178158,-71.4200607788599,63,17553.55
a7dc8aea-c0f1-42e9-a643-7c8a13b73c85,42.2856244317069,-71.3386691414516,87,20924.22
df78a3d9-c161-42eb-8ed2-01b46f8540a3,42.2373017512144,-71.4319764931188,23,5931.54
fe5030ac-9111-435a-8667-e4e43ff86383,42.302639025607,-71.3758499250322,12,4940.78
994cfae8-866c-4527-9755-5259199fb554,42.3078170304189,-71.5156842181494,66,13482.94
a109327d-cbec-46e6-a60a-61463d171af5,42.3455449846712,-71.5486351578614,53,20169.99
4bca1469-3d03-44c9-9b3d-3e4c6843aa2b,42.3403334522446,-71.5907123142906,33,8510.81
8a9da81a-4ee3-49f1-b6ad-12c629d12294,42.29811145652,-71.440036531689,36,16287.9
994cfae8-866c-4527-9755-5259199fb554,42.3125806339133,-71.5185474764435,67,14062.21
a7dc8aea-c0f1-42e9-a643-7c8a13b73c85,42.301855820528,-71.3596654748717,66,15850.74
8a9da81a-4ee3-49f1-b6ad-12c629d12294,42.346585681831,-71.5507272810178,3,421.44
1f102e1d-337c-472b-ba5f-3437712873c4,42.3475392071926,-71.5113256282404,65,18873.23
509eb4cb-8419-4f26-95e5-95e5ea0f3716,42.3665185193132,-71.5598065590743,76,8233.15
3c2380cd-bd75-4eb9-bc86-50d8ee2495e7,42.2094175046335,-71.4271552221272,17,9034.08
d8ac22ca-890c-4be5-aa36-f58d27050ffc,42.2770842776945,-71.4175287733989,0,0
9c274123-cd90-4982-99b6-992e666e2299,42.2908735150619,-71.4907544249746,22,9234.65
509eb4cb-8419-4f26-95e5-95e5ea0f3716,42.3648273864285,-71.5562633607544,77,8579.47
371129da-ba0e-40d0-b030-3ad21c7f910f,42.286106,-71.337616,48,12246.91
9c274123-cd90-4982-99b6-992e666e2299,42.305753070459,-71.5260227934136,47,17216.77
3c2380cd-bd75-4eb9-bc86-50d8ee2495e7,42.1555748376593,-71.4870945505556,27,17229.6
4bca1469-3d03-44c9-9b3d-3e4c6843aa2b,42.3541830393185,-71.6120586760079,55,16178.79
509eb4cb-8419-4f26-95e5-95e5ea0f3716,42.3637236573532,-71.5542932781156,78,8782.46
c81fdb21-dacb-4a9e-918b-cb971bd51383,42.2698061030987,-71.4037958624241,14,3075.3
