route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
a419da7a-40ce-4898-b253-b50af71834c1,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,ccf1a366-8bfe-4da4-a81f-a336ca3fdc8d,e76a8f58-3464-456b-9d3c-b594be7cd3e3,"Riverside Station",0,f5f189ec-5616-461d-8b76-6dcc3e007bbf
22eecc42-bf19-41f2-8f43-75e57d825f99,71e53991-076e-4df9-8442-809febe8251f,c4740268-d8d7-43c4-aa93-75e491b6abae,05af7569-bbf5-4967-9f3f-3356bbfca96c,"Blandin Ave",0,238d9115-93cb-4dcc-a63d-0efbec7a9708
6919ca4f-a233-4dbb-8c7a-76b32c8cb55c,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,16137d28-c764-4465-81a5-8c462c279437,c1e81ec9-1bb8-42fc-af27-a140da02ba05,"Central Hub",0,2d1e2de4-9f7a-433c-bf7a-7ac4e5c80451
a419da7a-40ce-4898-b253-b50af71834c1,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,9180b3f3-0b78-49c6-b330-86ff97f81acb,e76a8f58-3464-456b-9d3c-b594be7cd3e3,"Riverside Station",0,f5f189ec-5616-461d-8b76-6dcc3e007bbf
a3f5595b-a682-4c4f-a3eb-ae6fa7658002,71e53991-076e-4df9-8442-809febe8251f,55ed6eee-bc65-48ae-a064-96a13288a7cc,684efc3f-d098-4ec4-9358-80a9416c1e85,"Central Hub",1,3defacee-16d2-4460-8a7e-5dbeae8c5778
a419da7a-40ce-4898-b253-b50af71834c1,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,5c109b15-20a5-4ced-ad2a-9d1c4a277d03,a1b4988d-04e1-422b-ac12-cf217f152f90,"MassBay Wellesley",1,f5f189ec-5616-461d-8b76-6dcc3e007bbf
a3f5595b-a682-4c4f-a3eb-ae6fa7658002,71e53991-076e-4df9-8442-809febe8251f,3f87e412-7fe1-4abf-86d2-4e94fde9621b,684efc3f-d098-4ec4-9358-80a9416c1e85,"Central Hub",1,3defacee-16d2-4460-8a7e-5dbeae8c5778
a419da7a-40ce-4898-b253-b50af71834c1,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,5dc5892b-a15e-4890-bae7-f03bec37c614,e76a8f58-3464-456b-9d3c-b594be7cd3e3,"Riverside Station",0,f5f189ec-5616-461d-8b76-6dcc3e007bbf
22eecc42-bf19-41f2-8f43-75e57d825f99,71e53991-076e-4df9-8442-809febe8251f,cfba1ec9-2af7-49c0-b0e1-3f04f9012bd4,05af7569-bbf5-4967-9f3f-3356bbfca96c,"Blandin Ave",0,238d9115-93cb-4dcc-a63d-0efbec7a9708
a419da7a-40ce-4898-b253-b50af71834c1,41fc0c3c-a4ff-426a-8a1e-ad4a5b874b9c,53a722e2-684e-47f4-9461-343e62a9478f,e76a8f58-3464-456b-9d3c-b594be7cd3e3,"Riverside Station",0,d0a26c9e-7e27-4a70-9845-1e0833ba8342
a3f5595b-a682-4c4f-a3eb-ae6fa7658002,71e53991-076e-4df9-8442-809febe8251f,c2c64f14-e787-46b9-b133-0fc6945f7e0a,684efc3f-d098-4ec4-9358-80a9416c1e85,"Central Hub",1,3defacee-16d2-4460-8a7e-5dbeae8c5778
