timetable_id,stop_id,stop_sequence,stop_name,connected_routes
5086,798387,4,Rockport Market,"/Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5087,798387,1,Rockport Market,"/Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5087,798325,2,Dock Square,"/Cape Ann Works, /Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS"
5087,801990,3,Shaw's Supermarket,/Eastern Ave
5087,801986,4,Stop & Shop - CVS,"/Eastern Ave, /Thatcher Road"
5087,798326,5,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5088,798387,1,Rockport Market,"/Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5088,798325,2,Dock Square,"/Cape Ann Works, /Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS"
5088,801990,3,Shaw's Supermarket,/Eastern Ave
5088,801986,4,Stop & Shop - CVS,"/Eastern Ave, /Thatcher Road"
5088,798326,5,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5089,798326,1,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5089,801986,2,Stop & Shop - CVS,"/Eastern Ave, /Thatcher Road"
5089,801990,3,Shaw's Supermarket,/Eastern Ave
5089,798387,4,Rockport Market,"/Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5090,807832,1,Bridge St - Variety Store,/City of Beverly Shuttle
5090,2597088,2,Bridge St & Livingstone Ave,/City of Beverly Shuttle
5090,807841,3,Commuter Rail Station - Beverly,"/Beverly Commuter, /City of Beverly Shuttle"
5090,807842,4,Rantoul St & Edwards St,/City of Beverly Shuttle
5090,807843,5,Cabot St & Highland Ave,/City of Beverly Shuttle
5090,807884,6,Cabot St & Edwards St,/City of Beverly Shuttle
5090,807895,7,Pleasant St & Cabot St,/City of Beverly Shuttle
5090,807834,8,Beverly City Hall,/City of Beverly Shuttle
5090,807835,9,Cabot St & Elliot St,/City of Beverly Shuttle
5090,807836,10,Cabot St & Rantoul St St,/City of Beverly Shuttle
5090,807857,11,Garden City Apartments,/City of Beverly Shuttle
5090,807838,12,Beverly Hospital,/City of Beverly Shuttle
5090,3460638,13,Whole Foods Shopping,/City of Beverly Shuttle
5090,807851,14,Council on Aging,/City of Beverly Shuttle
5090,807846,15,Balch St Apartments,/City of Beverly Shuttle
5090,807864,16,North Beverly Plaza - Shaw's,/City of Beverly Shuttle
5090,807838,17,Beverly Hospital,/City of Beverly Shuttle
5090,807849,18,YMCA,/City of Beverly Shuttle
5090,807848,19,Turtle Creek Apartments,/City of Beverly Shuttle
5090,2597091,20,Montserrat Station,/City of Beverly Shuttle
5090,807850,21,Cedar St Apartments,/City of Beverly Shuttle
5090,3460647,22,Beverly Library,/City of Beverly Shuttle
5090,807887,23,Elliott St & Cabot St,/City of Beverly Shuttle
5090,807888,24,Rantoul St & Broadway,/City of Beverly Shuttle
5090,807841,25,Commuter Rail Station - Beverly,"/Beverly Commuter, /City of Beverly Shuttle"
5090,807834,26,Beverly City Hall,/City of Beverly Shuttle
5090,807855,27,Stop & Shop,/City of Beverly Shuttle
5090,807855,28,Stop & Shop,/City of Beverly Shuttle
5090,3460643,29,Trask Ln & Folly Hill,/City of Beverly Shuttle
5090,3460648,30,Market Basket,/City of Beverly Shuttle
5090,3460646,31,McPherson Dr & Elliott St,/City of Beverly Shuttle
5090,807891,32,Elliott St & Beckford St,/City of Beverly Shuttle
5090,807892,33,Herrick St & Sohier Rd,/City of Beverly Shuttle
5090,807852,34,Gloucester Crossing,/City of Beverly Shuttle
5090,807853,35,Rantoul St & Elliott St	,/City of Beverly Shuttle
5090,807893,36,Elliott St & Bridge St,/City of Beverly Shuttle
5090,807832,37,Bridge St - Variety Store,/City of Beverly Shuttle
5091,807832,1,Bridge St - Variety Store,/City of Beverly Shuttle
5091,807841,2,Commuter Rail Station - Beverly,"/Beverly Commuter, /City of Beverly Shuttle"
5091,807842,3,Rantoul St & Edwards St,/City of Beverly Shuttle
5091,807834,4,Beverly City Hall,/City of Beverly Shuttle
5091,807836,5,Cabot St & Rantoul St St,/City of Beverly Shuttle
5091,807857,6,Garden City Apartments,/City of Beverly Shuttle
5091,807838,7,Beverly Hospital,/City of Beverly Shuttle
5091,3460638,8,Whole Foods Shopping,/City of Beverly Shuttle
