stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
10203,WMAPIEW,W MAIN ST & OPP PIERCE ST,,41.670846,-72.869358,,,,,
10204,WMASTRW,W MAIN ST & OPP STRONG CT,,41.670283,-72.872128,,,,,
10205,WMANWAW,W MAIN ST & N WASHINGTON ST,,41.670094,-72.87508,,,,,
10206,FORWMAW,FORESTVILLE AVE & OPP W MAIN ST,,41.66994,-72.879447,,,,,
10207,EMABROW,E MAIN ST & BROAD ST,,41.67272,-72.897331,,,,,
10208,MOUMIDDW,MOUNTAIN RD & MIDDLE ST,,41.666591,-72.922742,,,,,
1021,FORBRAN,FORBES ST & BRADLEY ST,,41.74379,-72.604935,,,,,
10210,BOS512N,BOSTON POST RD & 512 BOSTON POST RD,,41.083811,-73.463324,,,,,
10211,BOS523S,BOSTON POST RD & 523 BOSTON POST RD,,41.083549,-73.463886,,,,,
10212,FORBOHN,FORESTVILLE AVE & BOHEMIA ST,,41.67277,-72.885631,,,,,
10213,EMA189W,E MAIN ST & 189 E MAIN ST,,41.672884,-72.891209,,,,,
10214,EMALINW,E MAIN ST & LINCOLN AVE,,41.672721,-72.894875,,,,,
10215,BROCENW,BROAD ST & CENTRAL ST,,41.673327,-72.898638,,,,,
10216,BROBROW,BROAD ST & BROAD PL,,41.671974,-72.903996,,,,,
10217,BROEMMW,BROAD ST & EMMETT ST,,41.672166,-72.912115,,,,,
10218,EMMBROS,EMMETT ST & BROAD ST,,41.671593,-72.913215,,,,,
10219,PINEMMW,PINE ST & EMMETT ST,,41.668572,-72.914167,,,,,
1022,FORSALS,FORBES ST & SALEM RD,,41.745452,-72.605159,,,,,
10220,PINDUNKW,PINE ST & DUNKIN DONUTS,,41.66703,-72.920783,,,,,
10221,PINBISW,PINE ST & OPP BISHOP ST,,41.668088,-72.91684,,,,,
10222,SOURIDGW,SOUTH ST & OPP RIDGE RD,,41.668186,-72.928757,,,,,
10223,SOUEASW,SOUTH ST & OPP EAST RD,,41.668479,-72.931249,,,,,
10224,SOUEASTW,SOUTH ST &  EAST ST,,41.668781,-72.933814,,,,,
10225,SOUMELW,SOUTH ST & MELLEN ST,,41.668707,-72.936694,,,,,
10227,SOUWILLW,SOUTH ST & WILLIS ST,,41.668043,-72.939608,,,,,
10228,MAISOUTN,MAIN ST & SOUTH ST,,41.668442,-72.943117,,,,,
10230,SAWHAMN,SAW MILL RD & HAMPTON INN,,41.269631,-72.975679,,,,,
10231,MITWILE,MITCHELL DR & OPP WILBUR CROSS HIGH,,41.324165,-72.909158,,,,,
10234,STAFAIRN,STAFFORD AVE & FAIR ST,,41.680277,-72.9034,,,,,
10235,STAJEWN,STAFFORD AVE & JEWEL ST,,41.686586,-72.903456,,,,,
10236,STAMOUN,STAFFORD AVE & MOUNTAIN VIEW AVE,,41.693089,-72.907601,,,,,
10238,FARMIXW,FARMINGTON AVE & MIX ST,,41.693415,-72.914984,,,,,
10239,FARVINW,FARMINGTON AVE & VINCENT RD,,41.692358,-72.917996,,,,,
1024,FORBLUW,FOREST ST & BLUEBERRY LN,,41.756763,-72.578729,,,,,
10240,FARMORW,FARMINGTON AVE & OPP MORRIS AVE,,41.691454,-72.920585,,,,,
10243,FARHOOW,FARMINGTON AVE & HOOVER AVE,,41.688811,-72.930093,,,,,
10244,FAROAKS,FARMINGTON AVE & OAKLAND ST,,41.686356,-72.937181,,,,,
10245,FARSTES,FARMINGTON AVE & OPP STEWART ST,,41.683762,-72.940492,,,,,
10246,FARBURLS,FARMINGTON AVE & BURLINGTON AVE,,41.682223,-72.942523,,,,,
10247,NMANORS,N MAIN ST & NORTH ST,,41.680735,-72.9473,,,,,
10249,NMACENTS,N MAIN ST & CENTER ST,,41.676142,-72.946868,,,,,
1025,FORMELW,FOREST ST & OPP MELTON DR,,41.756552,-72.580304,,,,,
10252,WESSCHS,WEST ST & SCHOOL ST,,41.671555,-72.949401,,,,,
10253,WESGRIS,WEST ST & GRIDLEY ST,,41.668098,-72.948319,,,,,
10254,SOUWESE,SOUTH ST & WEST ST,,41.667411,-72.947495,,,,,
10256,MAISOUHS,MAIN ST & SOUTH ST,,41.668379,-72.943347,,,,,
10258,SOUWILE,SOUTH ST & WILLIS ST,,41.667909,-72.939439,,,,,
10259,SOUSEYME,SOUTH ST & SEYMOUR ST,,41.668214,-72.938132,,,,,
10260,SOUEASE,SOUTH ST & EMILY LN,,41.668629,-72.933947,,,,,
10261,SOUEASTE,SOUTH ST & EAST RD,,41.668327,-72.931285,,,,,
10262,SOURIDGE,SOUTH ST & RIDGE RD,,41.668052,-72.928998,,,,,
10263,SARSARGS,SARGENT DR & SARGENT CORP 2,,41.289333,-72.924135,,,,,
1027,FORFOREW,FOREST ST & FOREST LN,,41.755926,-72.584849,,,,,
1028,FORDORW,FOREST ST & OPP DOROTHY RD,,41.755662,-72.586836,,,,,
10282,HIGGOOW,HIGH ST & GOODWIN ST,,41.67397,-72.937089,,,,,
10283,HIGBELWW,HIGH ST & BELLEVUE AVE,,41.673637,-72.940065,,,,,
10284,HIGMAIW,HIGH ST & MAIN ST,,41.673492,-72.942424,,,,,
10287,MOUMIDDE,MOUNTAIN RD & MIDDLE ST,,41.66643,-72.92279,,,,,
10288,PINTRRE,PINE ST &TERRY COMMONS,,41.666968,-72.920383,,,,,
10289,PINPACE,PINE ST & PINE ST PACKAGE STORE,,41.667461,-72.918618,,,,,
1029,FORNOCW,FOREST ST & OPP NOCH LN,,41.754347,-72.591371,,,,,
10290,PINEMME,PINE ST & EMMETT ST,,41.668429,-72.914022,,,,,
10291,VETCAMBW,VETERANS CIR & CAMPBELL AVE,,41.285006,-72.958048,,,,,
10294,PINEBALE,PINE ST & BALSAM ST,,41.668878,-72.910574,,,,,
10295,PINBIRE,PINE ST & BIRCH ST,,41.668249,-72.902988,,,,,
10296,PINFORE,PINE ST & OPP FOREST ST,,41.668545,-72.900145,,,,,
10297,PINDALE,PINE ST & DALEY ST,,41.66877,-72.897908,,,,,
10298,PINSTOE,PINE ST & STOP & SHOP,,41.668736,-72.894556,,,,,
10299,PINMARE,PINE ST & MARION ST,,41.668881,-72.890903,,,,,
103,FARBANW,FARMINGTON AVE & BANK OF AMERICA,,41.762435,-72.740651,,,,,
1030,FOR310W,FOREST ST & 310 FOREST ST,,41.753608,-72.5929,,,,,
10300,PINOVEE,PINE ST & OVERLOOK AVE,,41.669141,-72.888169,,,,,
10301,WMABOHE,W MAIN ST & BOHEMIA ST,,41.669393,-72.884346,,,,,
10302,WMAHOEE,W MAIN ST & HOERLE CT,,41.669717,-72.878963,,,,,
10303,WMAWASHE,W MAIN ST & WASHINGTON ST,,41.669924,-72.875261,,,,,
10304,WMASTOE,W MAIN ST & STRONG CT,,41.670131,-72.87197,,,,,
10305,WMAPIEE,W MAIN ST & PIERCE ST,,41.670766,-72.869031,,,,,
10307,BRI1STN,BRIDGE ST & 1ST ST,,41.319553,-73.090423,,,,,
10308,ALECOUS,ALEXANDER RD & COUNTRY CLUB RD,,41.706164,-72.787771,,,,,
1031,FORBREW,FOREST ST & OPP BREWER ST,,41.752967,-72.59421,,,,,
10319,STASTAN,STANLEY ST & STANLEY WOODS CONDO,,41.702862,-72.775136,,,,,
1032,FOR228W,FOREST ST & 228 FOREST ST,,41.752095,-72.596066,,,,,
10320,STAAWSN,STANLEY ST & AW STANLEY PARK,,41.703961,-72.775498,,,,,
10321,STAHUBEN,STANLEY ST & OPP HUBER ST,,41.705552,-72.775775,,,,,
10322,STACOUW,STANLEY ST & COUNTRY CLUB RD,,41.708162,-72.775761,,,,,
10323,COUHIGW,COUNTRY CLUB RD & HIGHRIDGE RD,,41.708217,-72.778654,,,,,
10324,COUNACW,COUNTRY CLUB RD & OPP NACHILLY DR,,41.707896,-72.781862,,,,,
10325,COUCREW,COUNTRY CLUB RD & CRESTWOOD LN,,41.707335,-72.787346,,,,,
