stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
20128,,Emerson at Garfield,,46.981059,-123.889998,ghc,,,,,
20132,,Emerson at Filmore,,46.981071,-123.894644,ghc,,,,,
20136,,Emerson at Cleveland,,46.981094,-123.897351,ghc,,,,,
20138,,Emerson at Buchanan,,46.981091,-123.899361,ghc,,,,,
5555,,Wal-Mart,,46.975889,-123.805345,ghc,,,,,
20148,,Blaine at Emerson,,46.980871,-123.904407,ghc,,,,,
20152,,Emerson at Maple,,46.980933,-123.898557,ghc,,,,,
20156,,Emerson at 1st,,46.980899,-123.894288,ghc,,,,,
20160,,8th & K St.,,46.976034,-123.885205,ghc,,,,,
20180,,Simpson at 9th,,46.976316,-123.882772,ghc,,,,,
20184,,Simpson at 23rd,,46.975169,-123.87083,ghc,,,,,
20188,,Simpson at 25th YMCA,,46.9751429238053,-123.866796791553,ghc,,,,,
20192,,Simpson at Ontario,,46.975151,-123.864745,ghc,,,,,
20196,,Simpson at 28th,,46.975129,-123.860761,ghc,,,,,
20200,,Simpson at 30th,,46.9751026613039,-123.856617808341,ghc,,,,,
20204,,Simpson at Myrtle,,46.97505,-123.85186,ghc,,,,,
20208,,Simpson at Oak,,46.9750331169118,-123.848522901535,ghc,,,,,
20212,,Simpson at Maple,,46.975046,-123.845739,ghc,,,,,
20216,,Simpson at Duffy,,46.975014815741,-123.842702507972,ghc,,,,,
20220,,Simpson at Haight,,46.975035,-123.841271,ghc,,,,,
20224,,Simpson at Conger,,46.975033,-123.838563,ghc,,,,,
20228,,Simpson at Scammel,,46.975014,-123.836032,ghc,,,,,
20232,,Simpson at Williams,,46.9750770396963,-123.832644224166,ghc,,,,,
20236,,Park at 3rd,,46.973351,-123.829835,ghc,,,,,
20240,,Park at 2nd,,46.972333,-123.828716,ghc,,,,,
20244,,Park at Wishkah,,46.970181,-123.826402,ghc,,,,,
20260,,Heron at Alder,,46.969897,-123.823832,ghc,,,,,
20264,,Heron at Jefferson,,46.9711750916005,-123.821239471435,ghc,,,,,
20268,,Heron at L (Safeway),,46.972402,-123.818905,ghc,,,,,
20272,,Wishkah at S Harbor,,46.977268,-123.809275,ghc,,,,,
20300,,22nd at Pacific,,46.973393,-123.872888,ghc,,,,,
20305,,23rd at Bay Ave,,46.972457,-123.871026,ghc,,,,,
20310,,Bay Ave at Ontario St,,46.972448,-123.865189,ghc,,,,,
20315,,Port Industrial Rd at 30th,,46.971616,-123.856523,ghc,,,,,
20320,,Port Industrial Rd at Myrtle St,,46.969726,-123.851975,ghc,,,,,
20325,,Port Industrial at S Maple St,,46.96758,-123.847007,ghc,,,,,
20330,,Port Industrial Rd at Commerce St,,46.966577,-123.841319,ghc,,,,,
20335,,Port Industrial Rd at East Terminal Rd,,46.967363,-123.836578,ghc,,,,,
20340,,Port Industrial Rd at South Thornton St,,46.967789,-123.834008,ghc,,,,,
20345,,South Garfield St,,46.967263,-123.830534,ghc,,,,,
20350,,West Heron at South Lincoln St,,46.968117,-123.827256,ghc,,,,,
20700,,Wishkah at South Lincoln Street,,46.969015,-123.828332,ghc,,,,,
20710,,Port Industrial at North Thornton Street,,46.968006,-123.834197,ghc,,,,,
20715,,Port Industrial at East Terminal Way,,46.96742,-123.836977,ghc,,,,,
20720,,Port Industrial at Commerce Street,,46.966788,-123.841918,ghc,,,,,
20725,,Port Industrial at Myrtle St,,46.969979,-123.85186,ghc,,,,,
20730,,Port Industrial at 30th St,,46.971575,-123.856064,ghc,,,,,
20735,,Bay Ave at 28th Street,,46.972578,-123.860378,ghc,,,,,
20740,,Bay Ave at Ontario Street,,46.972611,-123.865252,ghc,,,,,
20745,,23rd at Pacific,,46.973252,-123.871128,ghc,,,,,
20900,,Berkley St,,46.9986327533949,-123.88139873743,ghc,,,,,
30100,,Curtis at Boone SouthBound,,46.9713215113041,-123.802587389945,ghc,,,,,
30101,,Boone at Curtis,,46.971145,-123.802464,ghc,,,,,
30105,,Curtis at Lawrence,,46.971424,-123.794852,ghc,,,,,
30110,,SW Blvd. at N. Tilden SouthBound,,46.970288,-123.792035,ghc,,,,,
30115,,1st. SouthBound,,46.960065,-123.776437,ghc,,,,,
30120,,C at 1st,,46.954481,-123.77,ghc,,,,,
30125,,C at 3rd,,46.95335,-123.771962,ghc,,,,,
30130,,4th at D,,46.953491,-123.773226,ghc,,,,,
30135,,4th at G,,46.955455,-123.775519,ghc,,,,,
30140,,Altenau & Holly Lane,,46.948234,-123.77819,ghc,,,,,
30145,,Holly Lane at Alder,,46.948252,-123.77555,ghc,,,,,
30150,,Franklin Dr. (park),,46.953776,-123.7845302,ghc,,,,,
30156,,Franklin Dr. at Altenau,,46.953873,-123.778723,ghc,,,,,
30157,,G at Altenau,,46.954064,-123.778458,ghc,,,,,
30160,,4th at I St.,,46.956978,-123.776886,ghc,,,,,
30165,,SW Blvd. at E. Cushing Northbound,,46.96777,-123.787676,ghc,,,,,
30170,,SW Blvd at E.Hogan NorthBound,,46.964104,-123.782221,ghc,,,,,
30175,,SW Blvd. at E. Marion NorthBound,,46.968932,-123.789446,ghc,,,,,
30180,,SW Blvd. at N Tilden NorthBound,,46.970815,-123.792356,ghc,,,,,
30185,,W Curtis Northbound,,46.971654,-123.79784,ghc,,,,,
40000,,Big 5,,46.976134,-123.802983,ghc,,,,,
40004,,SR 12 & Linkshire Eastbound,,46.971032,-123.726437,ghc,,,,,
40008,,Central Park 7-11 Eastbound,,46.972034,-123.712988,ghc,,,,,
40012,,Central Park Fire Station Eastbound,,46.972764,-123.70292,ghc,,,,,
40014,,Junction City Eastbound,,46.9816687085814,-123.776097893714,ghc,,,,,
40016,,SR 12 & Clemons Rd Eastbound,,46.976334,-123.654098,ghc,,,,,
40018,,Chevron Stn/CP Drive,,46.972637,-123.742967,ghc,,,,,
40026,,SR 12 & Karjala Rd EastBound,,46.9716948797339,-123.718140721321,ghc,,,,,
40028,,Devonshire EastBound,,46.9745829062912,-123.622198104858,ghc,,,,,
40032,,Pioneer & Devonshire EastBound,,46.976553,-123.62041,ghc,,,,,
40034,,Pioneer & 9th EastBound,,46.977726,-123.612192,ghc,,,,,
40036,,Pioneer & Academy EastBound,,46.979513,-123.594082,ghc,,,,,
40038,,SR 12 & Hill Rd EastBound,,46.973599,-123.691585,ghc,,,,,
40039,,Hurd Rd EastBound,,47.00054,-123.445263,ghc,,,,,
40040,,SR 12 & Deer Park EastBound,,46.974118,-123.684468,ghc,,,,,
40042,,Hidden Valley EastBound,,46.97577,-123.661989,ghc,,,,,
40048,,Elma High School EastBound,,47.003505,-123.414561,ghc,,,,,
40052,,Elma Transit Center,,47.0036704327657,-123.408206105232,ghc,,,,,
40056,,Main & 1st EastBound,,47.004471,-123.400987,ghc,,,,,
40060,,E Main EastBound,,47.00524,-123.393739,ghc,,,,,
40062,,Pioneer & Fleet EastBound,,46.97942,-123.602781,ghc,,,,,
40064,,Elma Murray Place,,46.991938,-123.377414,ghc,,,,,
40068,,Elma Fairgrounds EastBound,,47.0130494211979,-123.381072878837,ghc,,,,,
40072,,McCleary Transit Center,,47.0535569375981,-123.265308737754,ghc,,,,,
40074,,Pioneer & S Glenn EastBound,,46.979588,-123.590148,ghc,,,,,
40076,,Harrison at McDonalds,,47.046052,-122.933252,oly,,,,,
40078,,Poplar EastBound,,46.982528,-123.572178,ghc,,,,,
40080,,Olympia Transit Center,,47.0465245321371,-122.900592684745,oly,,,,,
40082,,Beacon EastBound,,46.9837949980904,-123.566386699676,ghc,,,,,
40084,,Olympia Greyhound,,47.0423399205692,-122.900859564542,oly,,,,,
40086,,Roup EastBound,,46.984146,-123.564712,ghc,,,,,
40090,,Monte-Brady Eastbound,,46.985136,-123.560014,ghc,,,,,
40094,,Glenn EastBound,,46.9864243802947,-123.554255068302,ghc,,,,,
40098,,Camp Creek EastBound,,46.988737,-123.543498,ghc,,,,,
40101,,Harrison Pizza Hut WestBound,,47.046313,-122.93471,oly,,,,,
40102,,Fairbairn EastBound,,46.991013138356,-123.5328322649,ghc,,,,,
40103,,Harrison & Cooper Pt WestBound,,47.0471952823254,-122.941995263099,oly,,,,,
40104,,Buzz Tavern Mud Bay WestBound,,47.0465665685002,-122.987765818834,oly,,,,,
40105,,Buzz Tavern Mud Bay EastBound,,47.0464368039684,-122.987743020057,oly,,,,,
40106,,Winkleman EastBound,,46.9921858797384,-123.527416884899,ghc,,,,,
40107,,McCleary Apts WestBound,,47.0556200635785,-123.277732729911,ghc,,,,,
40108,,Simpson & S 6th EastBound,,47.0555341777296,-123.269203305244,ghc,,,,,
40109,,Simpson & N 7th WestBound,,47.05565,-123.270953,ghc,,,,,
40110,,Barrett Rd EastBound,,46.9948752206785,-123.517044782638,ghc,,,,,
40118,,Satsop Church,,47.0026204981085,-123.486124277114,ghc,,,,,
40122,,Satsop Store EastBound,,47.0026607398868,-123.481843471527,ghc,,,,,
40123,,W Main & Division WestBound,,47.003716,-123.410261,ghc,,,,,
40125,,W Main &12th WestBound,,47.0035643427445,-123.415043056011,ghc,,,,,
40126,,Oakridge Golf Course EastBound,,47.0032899710229,-123.45585823059,ghc,,,,,
40131,,Main & 18th WestBound,,47.003641,-123.415019,ghc,,,,,
40133,,Elma Elementary WestBound,,47.003147,-123.433985,ghc,,,,,
40134,,Brady Store WestBound,,46.9970156198038,-123.512549400329,ghc,,,,,
40135,,Brady Store EastBound,,46.9970851356029,-123.511970043182,ghc,,,,,
40138,,Elma Mini-Mart EastBound,,47.003333,-123.419456,ghc,,,,,
40141,,Pioneer & 7th EastBound,,46.9781661850368,-123.609484434127,ghc,,,,,
40143,,Pioneer & Devonshire WestBound,,46.9767277781883,-123.621028661727,ghc,,,,,
40147,,SR-12 & Linkshire WestBound,,46.9712958878849,-123.727083206176,ghc,,,,,
40149,,SR-12 & Ab. Lake Westbound,,46.9781149447451,-123.752784132957,ghc,,,,,
40150,,Main & 2nd EastBound,,47.004284,-123.402845,ghc,,,,,
40151,,Junction City Westbound,,46.981851697235,-123.7753200531,ghc,,,,,
40154,,Rusty Tractor EastBound,,47.006139,-123.391499,ghc,,,,,
40158,,Elma Gateway EastBound,,47.008459,-123.387961,ghc,,,,,
40170,,Heise Rd EastBound,,47.0303618377327,-123.345136642456,ghc,,,,,
40174,,Elma-Hicklin Rd EastBound,,47.0309907425296,-123.343913555145,ghc,,,,,
40178,,O'Donnell Rd EastBound,,47.0395551762324,-123.33360850811,ghc,,,,,
40182,,Forestview Trailer Park EastBound,,47.0520620807774,-123.301497101783,ghc,,,,,
40186,,McCleary Apts EastBound,,47.055527,-123.277389,ghc,,,,,
40190,,Simpson & S 7th EastBound,,47.0555597607629,-123.270785808563,ghc,,,,,
40194,,Simpson & S 5th EastBound,,47.055524,-123.267288,ghc,,,,,
40202,,McCleary Elementary EastBound,,47.049244,-123.263998,ghc,,,,,
40206,,County Line EastBound,,47.0577744739783,-123.195442557334,ghc,,,,,
40210,,Summit Lake W. EastBound,,47.0483265830153,-123.145475685596,oly,,,,,
40214,,SR 8 & Kennedy Cr EastBound,,47.0325410343319,-123.111108541488,oly,,,,,
40218,,Summit Lake E. EastBound,,47.0341187025137,-123.096600472927,oly,,,,,
40220,,Summit Lake Grocery EastBound,,47.0409059827439,-123.068434596061,oly,,,,,
40226,,Evergreen College Pkwy EastBound,,47.0458354965947,-122.971440553665,oly,,,,,
